time_stamp	hand_count	l_hand_p(x,y,z)	r_hand_p(x,y,z)
2023-10-14 01:47:20.135	2	(-221.886200,179.455078,76.833214)	(131.929565,238.013565,42.134911)
2023-10-14 01:47:20.146	2	(-230.010696,186.354416,83.228447)	(138.342346,241.105865,42.537392)
2023-10-14 01:47:20.157	2	(-237.003815,192.290161,90.223251)	(144.575500,241.478134,43.135895)
2023-10-14 01:47:20.168	2	(-244.256943,197.839218,96.617363)	(150.473862,243.168839,43.215649)
2023-10-14 01:47:20.179	2	(-251.864441,203.242752,103.583366)	(155.245941,243.008179,43.235321)
2023-10-14 01:47:20.190	2	(-259.318817,208.577621,109.947266)	(160.846481,243.607971,42.786350)
2023-10-14 01:47:20.201	2	(-266.206268,213.054810,116.977760)	(166.382843,245.373459,41.757397)
2023-10-14 01:47:20.212	2	(-273.848022,218.480667,124.608414)	(173.474655,247.594955,40.625355)
2023-10-14 01:47:20.224	2	(-281.858459,224.168167,131.087387)	(178.094330,248.219009,40.491890)
2023-10-14 01:47:20.235	2	(-289.218384,229.103867,137.892319)	(183.728195,250.013443,39.536613)
2023-10-14 01:47:20.246	2	(-296.129364,232.716766,144.009705)	(188.086563,251.040909,38.499249)
2023-10-14 01:47:20.257	2	(-303.681519,236.537033,150.592331)	(191.675278,250.026154,37.828632)
2023-10-14 01:47:20.268	2	(-309.827179,240.095764,156.357010)	(195.760147,250.569305,37.401676)
2023-10-14 01:47:20.280	2	(-318.131836,243.597427,163.177155)	(199.899490,251.250305,37.059399)
2023-10-14 01:47:20.291	2	(-321.750793,245.712173,167.958435)	(203.696991,253.433701,36.061783)
2023-10-14 01:47:20.302	2	(-327.240417,247.892380,172.996826)	(207.848297,254.558685,35.507236)
2023-10-14 01:47:20.313	2	(-333.486633,249.910812,179.592255)	(210.809296,255.952454,35.457771)
2023-10-14 01:47:20.324	2	(-339.663330,251.766632,185.365097)	(214.477676,256.246521,34.561466)
2023-10-14 01:47:20.336	2	(-344.506836,253.373764,191.216034)	(216.818298,257.094269,34.677444)
2023-10-14 01:47:20.347	2	(-347.700989,253.999359,194.548477)	(218.287598,256.907318,34.633556)
2023-10-14 01:47:20.358	2	(-351.152863,253.697174,197.874466)	(220.387070,257.545654,34.308853)
2023-10-14 01:47:20.369	2	(-356.168518,254.187241,204.103531)	(222.043594,257.798706,33.629036)
2023-10-14 01:47:20.380	2	(-359.652496,254.596756,208.103973)	(223.592041,258.357605,32.893253)
2023-10-14 01:47:20.391	2	(-361.702850,254.695160,210.313934)	(224.239563,258.104736,32.443413)
2023-10-14 01:47:20.402	2	(-364.192291,254.835846,212.402679)	(225.136887,258.919128,31.969721)
2023-10-14 01:47:20.414	2	(-365.208557,254.425781,214.858475)	(225.537460,259.509613,30.902773)
2023-10-14 01:47:20.424	2	(-368.658569,254.377777,217.665894)	(225.942108,259.092621,30.962601)
2023-10-14 01:47:20.436	2	(-370.096527,254.325348,221.793228)	(224.862579,258.475342,29.772312)
2023-10-14 01:47:20.447	2	(-370.486450,254.319656,221.763824)	(223.218109,256.955200,28.984781)
2023-10-14 01:47:20.458	2	(-371.311829,253.748611,224.921326)	(220.332550,255.845917,28.404114)
2023-10-14 01:47:20.469	2	(-373.847504,254.080780,225.578537)	(218.239349,254.234543,27.951218)
2023-10-14 01:47:20.480	2	(-373.713440,254.877747,226.882477)	(215.732941,253.753220,27.688206)
2023-10-14 01:47:20.492	1	(211.994675,251.122574,26.938253)	(x,x,x)
2023-10-14 01:47:20.503	1	(208.926483,249.878220,25.982084)	(x,x,x)
2023-10-14 01:47:20.514	1	(206.351730,248.001556,25.478828)	(x,x,x)
2023-10-14 01:47:20.525	1	(203.151932,246.799423,24.461046)	(x,x,x)
2023-10-14 01:47:20.536	1	(198.147217,244.022980,24.123890)	(x,x,x)
2023-10-14 01:47:20.547	1	(192.447571,241.745346,23.525099)	(x,x,x)
2023-10-14 01:47:20.558	1	(186.716354,239.372803,23.236868)	(x,x,x)
2023-10-14 01:47:20.569	1	(180.992477,238.011551,22.491655)	(x,x,x)
2023-10-14 01:47:20.581	1	(173.767014,235.503174,21.458363)	(x,x,x)
2023-10-14 01:47:20.592	1	(169.271255,231.870590,20.307522)	(x,x,x)
2023-10-14 01:47:20.603	1	(163.309158,227.041992,18.807806)	(x,x,x)
2023-10-14 01:47:20.614	1	(155.640564,221.544296,17.418617)	(x,x,x)
2023-10-14 01:47:20.625	1	(145.042404,213.571289,16.301062)	(x,x,x)
2023-10-14 01:47:20.637	1	(133.696671,205.700943,13.946940)	(x,x,x)
2023-10-14 01:47:20.648	2	(-310.598846,255.117020,163.648270)	(124.069778,198.140106,11.636019)
2023-10-14 01:47:20.659	2	(-302.076355,254.273438,158.046188)	(116.052017,190.037445,9.084229)
2023-10-14 01:47:20.670	2	(-290.405487,252.019348,151.833679)	(109.643394,182.183182,8.919651)
2023-10-14 01:47:20.681	2	(-279.622559,248.534927,146.556580)	(104.519470,174.692398,8.763515)
2023-10-14 01:47:20.692	2	(-268.446442,245.526428,141.234161)	(100.554489,169.963287,8.688416)
2023-10-14 01:47:20.704	2	(-258.188599,242.301895,136.772293)	(96.533630,164.143402,8.507779)
2023-10-14 01:47:20.715	2	(-246.201080,238.207764,131.583099)	(92.974976,159.513550,7.980470)
2023-10-14 01:47:20.726	2	(-236.072372,233.761246,128.406357)	(89.369743,154.078949,7.356263)
2023-10-14 01:47:20.738	2	(-224.865005,228.129547,124.273697)	(86.040764,148.776382,6.467309)
2023-10-14 01:47:20.748	2	(-214.146042,222.275070,120.783661)	(83.070274,143.347076,5.676867)
2023-10-14 01:47:20.759	2	(-203.218491,216.840469,116.919243)	(80.243126,138.060822,5.250744)
